	WORD	CEFR	CLUE
0	abaisser	a1	['decrease in size, extent, or range', 'lower the grade of something; reduce its worth', 'reasonably object (to) or set a limit (on)', 'reduce in scope while retaining essential elements', 'make lower or quieter', 'go down in value', 'lessen the authority, dignity, or reputation of', 'undergo meiosis', 'humiliate or depress completely', 'lower in grade or rank or force somebody into an undignified situation', 'move something or somebody to a lower position', 'corrupt morally or by intemperance or sensuality']
1	abandon	c1	['withdrawing support or help despite allegiance or responsibility', 'the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away', 'the act of giving something up', 'the act of giving up and abandoning a struggle or task etc.', 'the act of ceding', 'the trait of neglecting responsibilities and lacking concern', 'the act of conceding or yielding', 'euphemistic expressions for death', 'acceptance without protest', 'the condition of being concealed or hidden']
2	abandonner	b1	"['cease development, die, and be aborted', 'terminate before completion', 'stop operating or functioning', 'end resistance, as under pressure or force', 'cast aside capriciously or unfeelingly', 'stop maintaining or insisting on; of ideas or claims', 'leave someone who needs or counts on you; leave in the lurch', 'give up in the face of defeat of lacking hope; admit defeat', 'give up or agree to forgo to the power or possession of another', ""release, as from one's grip"", 'go away or leave', 'leave behind empty; move out of', 'turn away from; give up', 'give up with the intent of never claiming again', 'forsake, leave behind', 'relinquish possession or control over', 'part with a possession or right', 'give over; surrender or relinquish to the physical control of another', 'leave (a job, post, or position) voluntarily', 'give up or retire from a position', 'do without or cease to hold or adhere to', 'desert (a cause, a country or an army), often in order to join the opposing cause, country, or army', 'the trait of lacking restraint or control; reckless freedom from inhibition or worry', 'a feeling of extreme emotional intensity']"
3	abasourdir	b2	"['make senseless or dizzy by or as if by a blow', 'be a mystery or bewildering to', 'affect with wonder', 'overcome with amazement', 'cause to be confused emotionally', ""surprise greatly; knock someone's socks off"", 'to stimulate to action', 'overcome as with astonishment or disbelief', 'make dull or stupid or muddle with drunkenness or infatuation']"
4	abattage	c1	"['the killing of animals (as for food)', 'the savage and excessive killing of many people', ""measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water"", 'a quality of spirit that enables you to face danger or pain without showing fear', 'the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle)', 'a superior skill that you can learn by study and practice and observation', 'the person or thing that is rejected or set aside as inferior in quality', 'a severe scolding', 'a severe rebuke', 'a very large profit']"
5	abattoir	c1	['a building where animals are butchered']
6	abattre	c1	['make weak', 'make (someone) agree, understand, or realize the truth or validity of something', 'censure severely', 'express criticism towards', 'come out better in a competition, race, or conflict', 'cause to come or go down', 'find by digging in the ground', 'kill (animals) usually for food consumption', 'tear down so as to make flat with the ground', 'take away the enthusiasm of', 'cause a sharp and sudden pain in', 'kill intentionally and with premeditation']
7	abbaye	b1	['a monastery ruled by an abbot', 'a convent ruled by an abbess', 'a church associated with a monastery or convent']
8	abbé	b1	['the superior of an abbey of monks', 'a member of the clergy and a spiritual leader of the Christian Church', 'a clergyman or other person in religious orders', 'a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders', 'a person who performs religious duties and ceremonies in a non-Christian religion']
9	abeille	c1	['any of numerous hairy-bodied insects including social and solitary species', 'social bee often domesticated for the honey it produces', 'a social gathering to carry out some communal task or to hold competitions']
10	aberration	c1	"['a message that seems to convey no meaning', 'an optical phenomenon resulting from the failure of a lens or mirror to produce a good image', ""a disorder in one's mental state"", 'state of violent mental agitation', 'relatively permanent disorder of the mind', 'obsolete terms for legal insanity', 'informal terms for insanity', 'a state or condition markedly different from the norm']"
11	abolir	c1	['cancel officially', 'remove from a position or an office', 'do away with', 'revoke formally']
12	abolition	c1	['the act of abolishing a system or practice or institution (especially abolishing slavery)', 'the act of abrogating; an official or legal cancellation']
13	abomination	c1	['an action that is vicious or vile; an action that arouses disgust or abhorrence', 'hate coupled with disgust', 'intense aversion', 'a person who is loathsome or disgusting']
14	abondamment	c1	['to an exceedingly great extent or degree', 'in a lengthy or prolix manner', 'sufficiently; more than adequately', 'in a generous manner', 'thoroughly (including all important particulars)', 'in an abundant manner', 'in a bountiful manner', 'in a generously handsome manner', 'in an abundant and luxuriant manner', 'in a slow, leisurely or prolonged way;  -Rossetti', 'to an ample degree or in an ample manner', 'to a wasteful manner or to a wasteful degree', 'in an unstinting manner', 'with riches']
15	abondance	b1	"['the property of a more than adequate quantity or supply', 'a full supply', ""(chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million"", '(physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present', 'abundant wealth']"
16	abondant	c1	['present in great quantity', 'affording an abundant supply', 'large in number or quantity (especially of discourse)', 'produced or growing in extreme abundance', 'existing in great number or quantity']
17	abonder	b2	['be abundant or plentiful; exist in large quantities', 'be in a state of movement or action']
18	abonnement	a2	['the act of signing your name; writing your signature (as on a document)', 'a pledged contribution', 'a ticket good for several trips or to attend a season of entertainments; sold at a reduced rate', 'agreement expressed by (or as if expressed by) signing your name', 'a payment for consecutive issues of a newspaper or magazine for a given period of time']
19	abonner	c1	"['adopt as a belief', ""mark with one's signature; write one's name (on)"", 'receive or obtain regularly', 'offer to buy, as of stocks and shares', 'pay (an amount of money) as a contribution to a charity or service, especially at regular intervals']"
20	abonné	c1	['someone who contributes (or promises to contribute) a sum of money', 'someone who contracts to receive and pay for a service or a certain number of issues of a publication', 'someone who expresses strong approval']
21	abord	c1	['(usually plural) mutual dealings or connections among persons or groups', 'the act of coming to land after a voyage', 'the act of coming down to the earth (or other surface)', 'the act of accepting with approval; favorable reception', 'the act of attaining or gaining access to a new office or right or position (especially the throne)', 'shifting from one form of transportation to another', 'the fielding position of the player on a baseball team who is stationed at first of the bases in the infield (counting counterclockwise from home plate)', 'the act of admitting someone to enter', 'something that provides access (to get in or get out)', 'an intermediate platform in a staircase', 'a casual manner', 'the right to enter', 'the capacity for rational thought or inference or discrimination', 'the cognitive condition of someone who understands', 'personal knowledge or information about someone or something', '(law) the principle that an act done at a later time is deemed by law to have occurred at an earlier time', 'the statement (oral or written) of an exchange of promises', 'a tentative suggestion designed to elicit the reactions of others', 'an acknowledgment of the truth of something', 'a movement into or inward', 'a casual or unexpected convergence', 'a formally arranged gathering', 'the fee charged for admission', 'mutual or reciprocal relation or relatedness', 'a relationship less intimate than friendship']
22	abordable	c1	['capable of being reached', 'easily approached', 'capable of being reached or attained', 'capable of being read with comprehension']
23	aborder	c1	"['twist suddenly so as to sprain', 'adopt', 'bring up a topic for discussion', ""address or apply oneself to something, direct one's efforts towards something, such as a question"", 'cover as if with a shroud', 'appear as a character on stage or appear in a play, etc.', 'come near in time']"
24	aborigène	a2	['having existed from the beginning; in an earliest or original stage or state', 'characteristic of or existing by virtue of geographic origin', 'originating where it is found', 'produced in a particular country', 'of or pertaining to members of the indigenous people of Australia', 'a dark-skinned member of a race of people living in Australia when Europeans arrived', 'the earliest known inhabitants of a region']
25	aboutir	c1	['come to have or undergo a change of (physical features and attributes)', 'bring into a different state', 'attach or add', 'preside over', 'move into a desired direction of discourse', 'go or come after and bring or take back', 'lie adjacent to another or share a boundary', 'put in effect', 'lead musicians in the performance of', 'to come to rest, settle', 'reach a point in time, or a certain state or level', 'reach a destination, either real or abstract', 'reach a goal, e.g.,', 'transmit or serve as the medium for transmission', 'carry on (wars, battles, or campaigns)', 'slow down the progress of; hinder', 'behave in a certain manner', 'to gain with effort', 'be unsuccessful', 'succeed in a big way; get to the top', 'come to a close', 'issue or terminate (in a specified way, state, etc.); end', 'have as a result or residue', 'go out of fashion; become unfashionable']
26	aboyer	b1	['tan (a skin) with bark tannins', 'speak in an unfriendly tone', 'make barking sounds', 'remove the bark of a tree', 'cover with bark', 'a sailing ship with 3 (or more) masts', 'the sound made by a dog', 'a noise resembling the bark of a dog', 'tough protective covering of the woody stems and roots of trees and other woody plants']
27	abreuver	a2	['supply with water, as with channels or ditches or streams', 'cover completely or make imperceptible', 'overcome, as with emotions or perceptual stimuli', 'drench or submerge or be drenched or submerged']
28	abri	b1	['a canopy made of canvas to shelter people or things from rain or sun', 'a shelter serving as a place of safety or sanctuary', 'an apartment located on the top floors of a building', 'a shelter from danger or hardship', 'protective covering that provides protection from the weather', 'poor people who unfortunately do not have a home to live in']
29	abricot	a1	['a shade of pink tinged with yellow', 'downy yellow to rosy-colored fruit resembling a small peach', 'Asian tree having clusters of usually white blossoms and edible fruit resembling the peach']
30	abriter	a2	"['return home accurately from a long distance', 'hold back a thought or feeling about', ""keep in one's possession; of animals"", 'secretly shelter (as of fugitives or criminals)', 'a place of refuge and comfort and security', 'a sheltered port where ships can take on or discharge cargo']"
31	abroger	c1	['remove completely from recognition or memory', 'do away with completely, without leaving a trace', 'mark for deletion, rub off, or erase', 'cancel officially', 'destroy completely, as if down to the roots', 'declare invalid', 'revoke formally']
32	abruti	b2	['a person of subnormal intelligence', 'a stupid foolish person']
33	abréger	b2	['decrease in size, extent, or range', 'place restrictions on', 'shorten', 'reduce in scope while retaining essential elements', 'terminate or abbreviate before its intended or proper end or its full extent', 'lessen the authority, dignity, or reputation of']
34	absence	c1	['failure to be present', 'the state of being absent', 'epilepsy characterized by paroxysmal attacks of brief clouding of consciousness (and possibly other abnormalities)', 'the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy', 'the state of needing something that is absent or unavailable', 'the time interval during which something or somebody is away']
35	absent	c1	['lost in thought; showing preoccupation', 'go away or leave', 'not being in a specified place', 'one that is absent or not in residence', 'the time interval during which something or somebody is away']
36	absenter	b2	['lost in thought; showing preoccupation', 'go away or leave']
37	absentéisme	b1	['habitual absence from work', 'failure to attend (especially school)']
38	absolu	c1	['perfect or complete or pure', 'being without doubt or reserve', 'not capable of being violated or infringed', 'complete and without restriction or qualification; sometimes used informally as intensifiers', 'not limited by law', 'expressing finality with no implication of possible change', 'not established by conditioning or learning', 'something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative']
39	absolument	a2	"['totally and definitely; without question', 'completely and without qualification; used informally as intensifiers', ""to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form)"", 'without question and beyond doubt', ""completely and absolutely (`good' is sometimes used informally for `thoroughly')"", 'in such a manner as could not be otherwise', ""definitely or positively (`sure' is sometimes used informally for `surely')"", 'in an intransitive manner', 'in an essential manner', 'in a plenary manner', 'in truth; certainly; ; - Ps 37:3']"
40	absorber	c1	"[""consume all of one's attention or time"", 'take up mentally', 'take in, also metaphorically']"
41	absorption	c1	['the mental state of being preoccupied by something', 'complete attention; intense mental effort', '(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid', '(physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium', 'the process of absorbing nutrients into the body after digestion', 'the social process of absorbing one cultural group into harmony with another']
42	absoudre	b1	['let off the hook', 'grant remission of a sin to', 'cut the top off']
43	abstenir	c1	['choose not to consume', 'refrain from voting', 'be guided by in voting']
44	abstention	b1	['the trait of abstaining (especially from alcohol)']
45	abstraire	c1	['existing only in the mind; separated from embodiment', 'consider a concept without thinking of a specific example; consider abstractly or theoretically', 'consider apart from a particular case or instance', 'dealing with a subject in the abstract without practical purpose or intention', 'give an abstract (of)', 'not representing or imitating external reality or the objects of nature']
46	absurde	b2	['inconsistent with reason or logic or common sense; - Walter Lippman', 'having no meaning or direction or purpose', 'having no intelligible meaning', 'devoid of good sense or judgment', 'incongruous;inviting ridicule', 'a general conscious awareness', 'a message whose content is at variance with reason']
47	abus	c1	['change the inherent purpose or function of something', 'cruel or inhumane treatment', 'improper or excessive use', 'treat badly', 'a rude expression intended to offend or hurt']
48	abuser	c1	['change the inherent purpose or function of something', 'apply to a wrong thing or person; apply badly or incorrectly', 'treat badly']
49	abusif	c1	['characterized by physical or psychological maltreatment', 'expressing offensive reproach']
50	abîme	c1	"['a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)', 'a stream or brook', ""a deep opening in the earth's surface"", 'a deep wide chasm', 'a deep narrow steep-sided valley (especially one formed by running water)']"
51	académicien	c1	['the academic world', 'the academic world', 'an educator who works at a college or university', 'a scholar who is skilled in academic disputation', 'someone elected to honorary membership in an academy']
52	académie	b1	['a learned establishment for the advancement of knowledge', 'a complex of buildings in which an institution of higher education is housed', 'a school for special training', 'the body of faculty and students of a college', 'an institution of higher education created to educate and grant degrees; often a part of a university', 'a secondary school (usually private)', 'an institution for the advancement of art or science or literature']
53	académique	b2	['hypothetical or theoretical and not expected to produce an immediate or practical result', 'marked by a narrow focus on or display of learning especially its trivial aspects', 'associated with academia or an academy']
54	accabler	b1	['cover completely or make imperceptible', 'an excessive burden']
55	accaparer	b2	"[""consume all of one's attention or time"", 'have or exploit a monopoly of', 'have and control fully and exclusively']"
