	WORD	CEFR
0	's avond	b1
1	's middag	a2
2	's morgen	a2
3	's nacht	b2
4	's ochtend	b2
5	's	a2
6	aai	b2
7	aaien	a2
8	aan bod	c1
9	aan de beurt	b1
10	aan de hand van	b1
11	aan de hand	a2
12	aan de kaak	b2
13	aan de man	a1
14	aan de wieg	b2
15	aan elkaar	b2
16	aan het hoofd	b1
17	aan het licht	b2
18	aan het woord	b1
19	aan het	b2
20	aan toe	b2
21	aan	a2
22	aanbedene	b2
23	aanbellen	b1
24	aanbetaling	a2
25	aanbevelen	b2
26	aanbeveling	b2
27	aanbidden	b1
28	aanbidder	b2
29	aanbieden	b2
30	aanbieding	b2
31	aanblazen	b2
32	aanbod	b1
33	aanboord	b1
34	aanbranden	b1
35	aanbreken	b1
36	aanbrengen	b2
37	aandacht	b2
38	aandachtig	a2
39	aandachtiger	b2
40	aandachtspunt	b2
41	aandeel	b2
42	aandeelhouder	b2
43	aandeelhoudersstructuur	b2
44	aandenken	b1
45	aandoen	a2
46	aandoening	b1
47	aandringen	b1
48	aanduiden	b1
49	aandurven	a2
50	aangaan	a2
51	aangebeten	b2
52	aangeklaagde	b2
53	aangekleed	b1
54	aangelegenheid	b2
55	aangenaam	b2
56	aangetekend	c1
57	aangeven	b2
58	aangezien	b2
59	aangifte	b2
60	aangrijpen	b1
61	aanhalingsteken	b1
62	aanhang	b2
63	aanhanger	b2
64	aanhangwagen	b2
65	aanhouden	b2
66	aanhouder	b1
67	aanjagen	b2
68	aankijken	a2
69	aanklacht	b2
70	aanklagen	b1
71	aanklager	c1
72	aankleden	a2
73	aankloppen	a2
74	aankomen	a2
75	aankomend	b1
76	aankomst	b1
77	aankomsthal	a2
78	aankondigen	b2
79	aankondiging	b1
80	aankoop	c1
81	aankopen	b2
82	aankunnen	b1
83	aanleg	b2
84	aanleggen	b1
85	aanleiding	b2
86	aanleren	b2
87	aanleveren	b1
88	aanlokkelijk	c1
89	aanloop	a2
90	aanlopen	a2
91	aanmaken	b1
92	aanmaning	b1
93	aanmelden	b1
94	aanmelding	b1
95	aanmeldingsformulier	b1
96	aanmerking	b2
97	aanmeten	b2
98	aanmoedigen	b2
99	aannemen	b1
100	aanpak	b2
101	aanpakken	c1
102	aanpassen	b2
103	aanraden	b2
104	aanraken	b2
105	aanraking	b2
106	aanreiken	b2
107	aanrennen	b1
108	aanrijden	a2
109	aanroepen	b2
110	aanschaffen	b1
111	aanschafkosten	b2
112	aanscherpen	b2
113	aanschuiven	a2
114	aanslag	b1
115	aansluiten	b2
116	aansluiting	b2
117	aansluitingenadministratie	b1
118	aansporen	b2
119	aanspraak	b2
120	aansprakelijk	b2
121	aansprakelijkheid	c1
122	aanspreekpunt	b1
123	aanspreekvorm	b2
124	aanspreken	b1
125	aanstaand	b2
126	aanstaande	b1
127	aansteken	a2
128	aanstellen	b1
129	aanstelster	a2
130	aantal	c1
131	aantasten	b1
132	aantasting	b1
133	aantekening	b1
134	aantonen	b2
135	aantreffen	b2
136	aantrekkelijk	b1
137	aantrekkelijker	b1
138	aantrekken	b2
139	aantrekkingskracht	b1
140	aantrippelen	a2
141	aanvaardbaar	b2
142	aanvaarden	c1
143	aanvaardendat	b1
144	aanvaarding	b2
145	aanval	b2
146	aanvallen	a2
147	aanvang	b2
148	aanvangen	b2
149	aanvangstijd	b2
150	aanvankelijk	b1
151	aanverwant	b2
152	aanvoelen	b2
153	aanvoer	b2
154	aanvoerder	a2
155	aanvoeren	b2
156	aanvraag	b1
157	aanvragen	b2
158	aanvullen	b1
159	aanvulling	b2
160	aanwakkeren	b2
161	aanwenden	c1
162	aanwerven	b2
163	aanwerving	c1
164	aanwezig	b2
165	aanwezigheid	b2
166	aanwijzen	b1
167	aanwijzing	b1
168	aanwinst	b1
169	aanzetten	b2
170	aanzien	b2
171	aanzienlijk	b2
172	aanzoek	b1
173	aanzweven	a2
174	aap	a2
175	aard	b2
176	aardappel	a1
177	aardappelproductie	b1
178	aardbei	a1
179	aardbeving	b1
180	aardbol	b2
181	aarde	a2
182	aardedonker	a2
183	aardewerk	b2
184	aardewerkindustrie	b2
185	aardgas	b1
186	aardig	a1
187	aardolie	b1
188	aardrijkskunde	a2
189	aardverschuiving	b2
190	aarzelen	a2
191	abelman	b2
192	abonnement	b1
193	abortus	b2
194	absoluut	b1
195	abstract	b2
196	absurd	b1
197	academicus	b2
198	academie	b2
199	academiejaar	b2
200	academisch	b2
201	accent	b2
202	accentueren	b1
203	acceptabel	b1
204	accepteren	b1
205	accessoire	b1
206	accijns	b1
207	acclimatiseren	a2
208	accolade	b2
209	accordeon	a2
210	account	b2
211	accountant	b1
212	ach	a2
213	acht uur	b2
214	acht	b1
215	achtduizend	b1
216	achten	b1
217	achtentwintig	b2
218	achter de rug	c1
219	achter	b1
220	achteraan	a2
221	achteraf	b2
222	achterbak	b1
223	achterbank	b1
224	achterbeen	a2
225	achterblijven	a2
226	achterbuurt	a2
227	achterdeur	b1
228	achtereen	b2
229	achtereenvolgens	b2
230	achteren	a2
231	achtergrond	b2
232	achterhalen	b2
233	achterin	b1
234	achterkamer	a2
235	achterkant	a2
236	achterlaten	b1
237	achterliggen	b2
238	achterligger	b1
239	achterlijk	b2
240	achterlopen	b2
241	achterna	a2
242	achternaam	b1
243	achterom	a2
244	achterop	a2
245	achteropraken	a2
246	achterover	b1
247	achterstal	c1
248	achterstallig	c1
249	achterstand	b2
250	achterstellen	b1
251	achterstevoren	b1
252	achtertuin	b1
253	achteruit	b1
254	achteruitdeinzen	b2
255	achteruitgang	b2
256	achteruitkijkspiegel	b1
257	achtervang	b2
258	achtervolgen	c1
259	achtervolging	c1
260	achterwege	b2
261	achterzitten	b1
262	achthonderd	b1
263	achtsteklasser	a2
264	achttien	b1
265	achttienhonderd	b1
266	acne	b2
267	acrobaat	b1
268	act	b1
269	acteren	b2
270	acteur	b1
271	actie	b1
272	actief	c1
273	actiefilm	b1
274	actiefst	b2
275	actiegame	b2
276	actieplan	b1
277	actieveling	b2
278	actievoerder	b1
279	actieweekend	b1
280	activatie	b1
281	activeren	b1
282	activiteit	b2
283	activiteitenkalender	b1
284	actrice	b1
285	actualiteit	b1
286	actueel	b2
287	acuut	b1
288	adel	a2
289	adellijk	a2
290	adem	a2
291	ademen	a2
292	ademhalen	a2
293	ademhaling	b2
294	ademloos	a2
295	adequaat	b2
296	ader	a2
297	aderlating	b2
298	adjectief	b2
299	administratie	a2
300	administratief	b2
301	admiraal	b2
302	adolescent	b2
303	adolescentie	b1
304	adonis	b1
305	adoreren	b1
306	adres	a1
307	adresbewijs	b2
308	adreskaart	b1
309	adreslegitimatie	b2
310	adreswijziging	b2
311	adverteerder	b2
312	advertentie	c1
313	advertentiebudget	b2
314	advies	b1
315	adviesbureau	b1
316	adviseren	b2
317	adviseur	b1
318	advocaat	c1
319	advocatenechtpaar	c1
320	advocatenkantoor	b1
321	af aan	b2
322	af en toe	b1
323	af	a2
324	afbakenen	b2
325	afbeelden	b1
326	afbeelding	b2
327	afbetalen	a2
328	afbetaling	a2
329	afbijten	a2
330	afblazen	b2
331	afblijven	a2
332	afbreken	b2
333	afdak	b1
334	afdeling	b1
335	afdoen	a2
336	afdrogen	b1
337	afdruk	b2
338	afdrukken	b2
339	afdwalen	b2
340	afdwingen	c1
341	affaire	b1
342	affectie	b2
343	affiche	b1
344	afgebeten	a2
345	afgebrand	a2
346	afgelasten	b2
347	afgelegen	b2
348	afgelopen	b1
349	afgeven	b1
350	afgezaagd	b2
351	afglijden	b1
352	afgod	c1
353	afgooien	b1
354	afgrijselijk	b2
355	afgrond	b1
356	afgunst	b2
357	afgunstig	b2
358	afhaalchinees	c1
359	afhaalmaaltijd	b2
360	afhaken	c1
361	afhakken	a2
362	afhalen	b1
363	afhandelen	b2
364	afhandeling	b2
365	afhangen	a2
366	afhankelijk	b1
367	afhouden	b1
368	afijn	b1
369	afkappen	b1
370	afkeer	b2
371	afkeuring	b2
372	afkicken	b1
373	afkoeling	b1
374	afkomen	a2
375	afkomst	a2
376	afkomstig	b2
377	afkorting	b1
378	afleggen	b2
379	afleiden	b2
380	afleiding	b1
381	afleverdatum	b1
382	afleveren	c1
383	aflevering	b2
384	aflevertemperatuur	b1
385	aflezen	b2
386	afloop	b2
387	aflopen	a2
388	aflossen	b1
389	afmaken	a2
390	afname	b1
391	afnemen	b2
392	afpakken	b1
393	afpersen	b1
394	afpersing	b1
395	afraden	b1
396	afreizen	a2
397	afrekenen	b1
398	afrekening	a2
399	afrennen	a2
400	africhten	b2
401	afrijden	a2
402	afrikaans	b2
403	afronden	b2
404	afruimen	b1
405	afschaffen	b2
406	afschaffing	b2
407	afscheid	a2
408	afscheiding	b2
409	afschermen	b1
410	afschilderen	c1
411	afschrift	a2
412	afschrijving	b1
413	afschrikwekkend	b2
414	afschuimen	b2
415	afschuw	a2
416	afschuwelijk	b1
417	afslaan	a2
418	afslag	b1
419	afslankingsideaal	b1
420	afsluitbaar	b1
421	afsluiten	b1
422	afsluiting	b1
423	afsnijden	c1
424	afspekken	a2
425	afspelen	c1
426	afspraak	b1
427	afsprakenlijn	a2
428	afspreken	a2
429	afspringen	a2
430	afstaan	b2
431	afstammeling	b2
432	afstand	b2
433	afstandelijk	b2
434	afstandsbediening	a2
435	afstap	b1
436	afstappen	c1
437	afsteken	a2
438	afstel	b2
439	afstellen	b2
440	afstemmen	c1
441	afstemming	b2
442	afstemmingsmogelijkheid	b2
443	afstompend	b1
444	afstort	a2
445	afstudeerscriptie	b2
446	afstuderen	b2
447	aftakeling	b1
448	aftakelingsproces	b1
449	aftakking	a2
450	aftrek	b2
451	afvaardigen	b1
452	afvaart	b1
453	afval	c1
454	afvalcontainer	b1
455	afvallen	a1
